Date,Jday,RB WY01,RB WY02,RB WY03,RB WY04,RB WY05,RB WY06,RB WY07,RB WY08,RB WY09,RB WY10,RB WY11,RB WY12,RB WY13,RB WY14,RB WY15,RB WY16,RB WY17,RB WY18,RB WY19,WB WY01,WB WY02,WB WY03,WB WY04,WB WY05,WB WY06,WB WY07,WB WY08,WB WY09,WB WY10,WB WY11,WB WY12,WB WY13,WB WY14,WB WY15,WB WY16,WB WY17,WB WY18,WB WY19,RB average 01-16,WB average 01-15,RB avg mm,WB avg mm,RB cum mm,WB cum mm
18-May,230,7,31,8.5,7.3,6.3,54,20,6.5,18,10.1,28,14,5.9,17,7.5,14.2,11.8,7.14,20.8,19,54,19,18,14,103,32,20,24,18.5,63,21,9.3,38,17,22.3,44.8,28.7,45.4,15.53,32.16,3.96,6.73,887.85,1028.83
19-May,231,9.3,19,7.7,9.4,5.7,131,15,15,13,9,25,12,6,11,6.6,11.8,9.91,6.66,26.6,25,33,18,27,13,217,26,33,18,16.5,57,17,9.2,26,16,19.9,33.7,25.1,57.8,18.4,36.22,4.69,7.57,892.54,1036.41
20-May,232,7.2,15,6.9,6.6,5.3,135,15,26,11,8.3,28,9.9,8.2,9,5.4,9.54,8.35,22.6,122,20,26,17,17,13,218,29,42,16,14.8,58,14,12,21,13,16.5,21.9,67.8,171,24.17,42.53,6.16,8.89,898.7,1045.3
21-May,233,5.9,16,7.4,9,5,99,15,16,8.8,7.1,35,8.2,13,7.5,4.8,8.14,7.42,10.2,36,18,25,18,21,12,157,30,30,14,13.2,68,12,20,18,11,15.6,18.1,32.9,62.1,16.81,31.36,4.29,6.56,902.99,1051.86
22-May,234,5.3,14,6.5,6.9,6.2,76,11,11,7.6,6.3,21,8.5,51,16,4.3,11.3,26,10.6,21.2,16,22,14,17,20,106,23,23,13,11.8,42,14,80,31,9.4,17.8,56.3,33.9,43.5,16.88,31.25,4.3,6.53,907.29,1058.39
23-May,235,5.1,14,5.9,22,8,62,9.3,10,6.7,5.9,16,9.9,104,38,3.9,11,16.8,19.4,17.4,15,29,12,39,20,89,20,22,11,10.8,29,18,153,68,8.4,16.5,34.7,41.8,42.2,20.28,35.76,5.17,7.48,912.46,1065.87
24-May,236,4.7,13,6,87,9.7,52,8.7,9.6,6.6,5.5,17,7.8,108,32,3.6,8.08,10.8,8.79,35.1,13,33,12,98,22,83,22,21,11,9.8,36,12,144,62,7.7,13.3,23.6,24.1,67.9,22.84,37.65,5.82,7.87,918.28,1073.75
25-May,237,4,10,7.3,58,6.7,28,7.5,7.3,5.6,5.1,12,6.9,133,18,3.4,6.92,9.71,6.89,27,11,25,15,77,16,57,19,18,9.5,9,23,11,192,37,7.4,11.6,21.7,20.8,56.3,19.12,33.54,4.87,7.01,923.16,1080.76
26-May,238,3.7,11,7.9,28,6.1,18,6.2,6.7,5.1,4.6,24,6.7,69,14,4.3,6.09,22,7.24,85.1,10,28,16,51,15,35,16,17,8.7,8.1,46,9.8,104,31,8.7,10.8,35.9,22.2,130,17.67,31.75,4.5,6.64,927.66,1087.4
27-May,239,6.1,8.7,10,16,6.2,14,6.1,6.5,6.2,4.2,61,5.5,46,12,3.4,5.92,15.5,6.12,24.6,16,25,19,30,15,24,14,18,9.8,7.5,100,8.5,80,25,7.5,10.5,26.6,18.1,45.5,13.9,26.32,3.54,5.5,931.2,1092.9
28-May,240,9.3,7.5,8,17,6.7,12,9.6,5.3,15,3.9,51,4.8,24,12,4.1,5.09,10.3,5.29,27.3,20,23,15,27,15,20,23,14,20,6.9,90,7.9,59,25,12,9.47,19.6,15.5,44.1,12.54,24.55,3.2,5.13,934.4,1098.04
29-May,241,9.4,6.8,11,13,6.2,9.7,6,4.7,45,3.8,35,9,34,10,5.5,5.56,11.7,4.76,24.3,19,23,20,22,13,17,14,12,66,6.6,74,11,78,19,14,11.2,25,14,37,13.44,26.09,3.43,5.46,937.82,1103.5
30-May,242,9.3,8,15,9.3,5.4,8.8,5,4.2,24,3.7,38,8.4,19,7.9,8.7,5.97,26,4.15,16.4,23,25,27,18,12,15,11,11,32,6.3,53,12,43,16,16,12,42.4,12,28.5,11.96,21.85,3.05,4.57,940.87,1108.07
31-May,243,27,17,9.8,7.5,11,8.3,5,15,14,3.4,19,5.6,12,6.7,45,4.54,37.9,3.74,12.7,52,44,20,16,14,15,10,28,20,5.8,29,8.4,26,14,58,9.22,51.6,10.3,23.5,13.96,23.94,3.56,5.01,944.43,1113.07
1-Jun,244,23,13,12,16,9.1,7.7,21,13,9.9,5.6,14,4.6,9.3,5.6,74,4.08,21.2,3.51,10.5,50,28,23,29,13,13,26,24,16,9.5,25,6.1,20,12,93,7.84,31.4,9.14,20.2,14.58,24.01,3.72,5.02,948.15,1118.09
2-Jun,245,32,8.1,12,61,6.4,6.7,9.8,12,8,4.6,12,7.4,37,4.6,41,3.79,13.8,3.32,15.2,70,17,23,101,11,11,14,24,13,6,24,6.6,53,11,46,6.65,24.3,8.38,29.1,15.72,26.26,4.01,5.49,952.15,1123.59
3-Jun,246,24,6.8,7.7,20,5.2,13,7.9,14,6.8,5,11,11,16,10,19,3.58,32.5,3.02,15.1,54,14,14,38,10,21,12,21,11,5.4,21,6.7,25,26,21,6.07,60.6,7.6,22.8,12.19,20.9,3.11,4.37,955.26,1127.96
4-Jun,247,28,6,6.2,16,4.3,14,12,21,6,4.6,8.8,8.9,11,15,11,3.3,21.3,4.9,11,56,12,12,26,9,21,19,32,10,4.9,16,5.6,12,33,12,5.57,36.3,12.4,17.4,11.23,18.54,2.86,3.88,958.12,1131.83
5-Jun,248,34,13,6.9,10,3.7,14,21,14,5.2,14.4,8,8.2,8.5,6.9,10,51.2,14.3,5.11,22.6,56,25,14,20,8.2,19,31,17,9,31.4,14,6.1,9.6,15,11,66.1,25.7,14.1,29.2,14.26,22.18,3.64,4.64,961.76,1136.47
6-Jun,249,15,25,7.1,8,3.4,8.5,9.8,54,4.7,46.1,7.3,7.2,7.7,8.7,16,25.1,39.5,4.17,32.6,31,45,12,17,7.7,14,16,82,8.3,75,12,5.4,12,11,19,28.2,51,10.5,33.3,17.36,25.81,4.43,5.4,966.18,1141.87
7-Jun,250,11,9.9,6.6,7,3.1,7,7.3,23,4.4,31,6.1,5.6,29,7.6,9,11.4,26.1,3.68,14.5,21,18,11,15,7.1,11,12,37,7.9,47.7,11,5.2,58,6.1,13,10.1,35.2,9.02,20.3,11.75,18.72,3,3.91,969.18,1145.78
8-Jun,251,7.8,7.5,6.4,5.9,2.8,7.4,5.9,13,4.2,10.4,5.4,5.4,33,4.9,18,16.5,13.8,3.29,10.5,16,14,10,13,6.3,11,9,23,7.4,18.2,9.4,7.3,49,5.6,37,31.7,22.7,7.81,16.7,9.58,16.58,2.44,3.47,971.62,1149.25
9-Jun,252,6.2,6.4,5.7,9.4,3.3,7.9,7.4,9.1,5.9,7.3,7.1,6,21,3.9,163,32.2,10.8,2.87,8.66,13,12,9.6,23,6.8,6.3,10,17,9.8,13.1,11,7.5,33,9.8,171,66.1,19.5,6.89,14.2,17.06,24.19,4.35,5.06,975.97,1154.31
10-Jun,253,5.2,5.5,7.2,10,3.3,116,5.3,21,5,31.3,6.2,4.3,12,3.4,109,15.6,8.82,2.66,7.43,11,10,13,23,6.7,139,8.8,36,8.8,51.3,9.8,6.3,21,8,139,25.9,16.2,6.48,12.6,19.96,29.1,5.09,6.09,981.05,1160.4
11-Jun,254,5.4,34,6.3,6.1,2.6,96,4.4,29,4.6,20.1,11,3.7,159,3.2,23,10.9,7.28,2.54,35.2,10,58,14,14,5.7,86,7.8,46,8.2,32.8,15,5.8,186,8.1,36,18.1,14,6.5,54,24.44,32.95,6.23,6.89,987.28,1167.29
12-Jun,255,5.6,150,7.7,5.2,2.4,43,3.4,12,35,12.4,34,3.6,88,19,27,17.2,6.23,2.4,13.4,10,181,22,12,5.3,42,6.9,19,47,20.5,45,5.7,113,31,41,31.5,12.3,5.58,21.4,25.66,35.38,6.54,7.4,993.82,1174.69
13-Jun,256,4.6,35,19,4.5,2.3,20,2.8,8.2,12,9.1,19,5.3,26,67,94,46.6,5.6,2.33,9.72,8.9,47,46,10,5.2,24,6.3,16,16,15.5,24,8.2,46,90,114,60.1,11.1,5.43,16.7,20.69,30.02,5.27,6.28,999.1,1180.97
14-Jun,257,4,16,101,4.2,7.6,13,2.5,10,7.3,7.4,11,3.9,15,61,20,17.2,5.04,4.92,8.86,8,24,160,9.3,16,19,4.1,18,11,12.7,16,6.3,27,75,28,24.3,9.97,15.9,15.6,16.84,26.32,4.29,5.51,1003.39,1186.47
15-Jun,258,3.5,40,36,5.5,11,10,2.2,31,14,6.2,8,2.9,11,48,17,10.1,4.66,5.07,8.25,7.2,48,65,14,20,16,3.2,36,13,10.8,11,5.2,20,52,23,16.7,9.12,14.7,14.7,14.44,21.03,3.68,4.4,1007.07,1190.87
16-Jun,259,3.2,40,15,4.2,11,8.2,1.9,12,11,5.5,5.8,2.6,12,18,31,7.11,12.4,2.92,8.43,6.9,47,28,9.9,18,13,3.4,18,12,9.8,9.3,4.9,21,24,46,13.1,22.1,7.79,15.6,11.17,17.36,2.85,3.63,1009.92,1194.5
17-Jun,260,5.3,22,10,3.7,42,7.1,4.4,8.7,6.6,24.2,5.1,2.4,12,12,23,5.63,7.34,2.42,6.82,9.8,44,20,8.5,56,12,4.2,15,9.2,47.1,8.4,4.7,20,16,33,10.9,13.2,6.02,12.1,11.09,18.43,2.83,3.85,1012.74,1198.35
18-Jun,261,3.6,20,8.1,3.4,25,6.1,2.3,7,9.8,10.5,12,2.3,9,44,12,4.78,5.78,34.4,5.9,7.2,37,16,7.8,34,11,3.5,13,12,18.4,23,4.5,16,79,19,9.44,12.3,73.9,10.6,11.89,21.45,3.03,4.49,1015.77,1202.84
19-Jun,262,3,14,7.2,7.1,11,7.4,4.7,7.4,28,6.5,7.8,2.2,7.2,20,19,4.18,25.7,23.7,5.43,6.3,24,14,20,20,12,8.6,13,33,12.4,13,4.4,13,29,25,8.29,50.3,53.5,9.8,11.13,19.45,2.84,4.07,1018.61,1206.91
20-Jun,263,2.7,10,6.3,4.4,6.9,18,15,6,13,5.9,5.5,2,6,13,11,3.78,16.5,5.45,29.2,5.9,18,12,11,14,23,18,12,17,12.5,9.1,4.1,11,18,16,7.55,27.8,17.3,37.1,9.51,15.33,2.42,3.21,1021.03,1210.11
21-Jun,264,2.6,7.9,5.4,3.5,4.9,15,6,5.5,8.9,5.2,4.6,1.7,5.2,11,64,3.93,10.9,3.64,16.5,5.5,15,11,8.4,11,21,11,11,12,10.6,7.7,3.8,10,14,112,8.45,25.4,12.3,24.1,9.81,17.59,2.5,3.68,1023.53,1213.79
22-Jun,265,2.7,9.4,4.9,4.1,4.5,8.2,13,11,7.1,4.4,4.4,1.6,6.7,9,38,5.55,10.1,2.96,8.71,5.6,16,9.7,9.2,11,13,22,17,10,9,7.6,3.7,12,12,68,10.4,21.3,9.78,14.7,8.23,14.84,2.1,3.1,1025.63,1216.9
