Date,Jday,RB WY01,RB WY02,RB WY03,RB WY04,RB WY05,RB WY06,RB WY07,RB WY08,RB WY09,RB WY10,RB WY11,RB WY12,RB WY13,RB WY14,RB WY15,RB WY16,RB WY17,RB WY18,RB WY19,WB WY01,WB WY02,WB WY03,WB WY04,WB WY05,WB WY06,WB WY07,WB WY08,WB WY09,WB WY10,WB WY11,WB WY12,WB WY13,WB WY14,WB WY15,WB WY16,WB WY17,WB WY18,WB WY19
1-Jul,274,1.52928,1.886112,0.790128,0.917568,0.50976,4.07808,0.433296,1.172448,2.319408,4.893696,5.35248,0.994032,11.21472,1.733184,18.35136,0.8997264,8.385552,0.841104,3.874176,1.610318769,2.71872,1.003835077,2.007670154,0.857442462,5.019175385,1.003835077,1.861277538,1.652145231,4.475431385,9.201821538,1.610318769,8.992689231,1.756711385,14.01186462,1.152319015,8.532598154,2.112236308,4.098993231
2-Jul,275,1.045008,1.631232,0.662688,1.14696,0.560736,6.372,0.458784,1.01952,2.497824,3.364416,3.05856,0.815616,9.94032,1.758672,12.23424,0.9226656,5.47992,0.7060176,1.8810144,1.212967385,2.300455385,0.941095385,2.71872,0.878355692,8.992689231,1.003835077,1.631232,2.091323077,3.450683077,4.600910769,1.505752615,9.201821538,1.589405538,8.992689231,1.173232246,6.294882462,1.905195323,2.530500923
3-Jul,276,0.790128,1.40184,0.560736,0.815616,0.458784,3.31344,0.611712,1.197936,4.33296,2.191968,2.5488,0.76464,6.62688,1.860624,4.33296,0.7467984,3.160512,0.6193584,1.3865472,0.982921846,2.049496615,0.878355692,1.693971692,0.773789538,4.600910769,1.066574769,2.300455385,5.228307692,2.614153846,3.764381538,1.380273231,6.483101538,1.673058462,4.182646154,1.051935508,4.642737231,1.551761723,1.990939569
4-Jul,277,0.662688,1.2744,0.535248,0.688176,0.407808,7.13664,0.458784,1.121472,18.60624,1.65672,4.33296,1.197936,28.80144,2.16648,3.05856,0.6601392,2.2786272,0.5581872,1.1163744,0.899268923,2.300455385,0.836529231,1.401186462,0.815616,7.528763077,0.962008615,2.007670154,27.60546462,2.195889231,3.346116923,1.861277538,16.10318769,1.986756923,3.555249231,0.951552,3.806208,1.263159138,1.737889477
5-Jul,278,0.6372,1.78416,0.50976,4.58784,0.713664,7.13664,1.427328,0.866592,5.86224,1.376352,2.191968,0.89208,24.2136,1.682208,2.5488,0.6142608,1.8198432,0.5199552,0.9659952,0.857442462,2.927852308,0.815616,5.019175385,1.610318769,7.528763077,2.091323077,1.568492308,7.319630769,1.903104,2.509587692,1.066574769,11.71140923,1.589405538,3.136984615,0.861625108,3.241550769,1.150227692,1.384455877
6-Jul,279,0.560736,4.33296,0.484272,3.31344,0.994032,3.31344,1.809648,0.76464,3.31344,1.248912,3.31344,0.535248,11.72448,1.427328,2.090016,0.5836752,1.5343776,1.0653984,1.542024,0.794702769,5.855704615,0.794702769,6.483101538,1.631232,3.973513846,1.840364308,1.380273231,4.182646154,1.652145231,3.764381538,0.878355692,6.273969231,1.338446769,2.509587692,0.800976738,2.865112615,2.844199385,3.617988923
7-Jul,280,0.535248,2.242944,0.484272,1.299888,0.6372,2.523312,1.758672,0.688176,3.8232,1.045008,10.1952,0.560736,5.35248,1.503792,1.988064,0.7187616,1.7433792,0.6473952,1.172448,0.773789538,2.71872,0.773789538,2.71872,1.129314462,3.136984615,1.401186462,1.275707077,4.391778462,1.443012923,7.947027692,0.878355692,4.182646154,1.35936,2.509587692,1.261067815,2.71872,1.656327877,2.279542154
8-Jul,281,0.560736,2.140992,0.560736,6.372,0.535248,2.03904,6.88176,0.6372,4.33296,0.917568,3.31344,0.6372,4.07808,1.478304,2.80368,0.726408,4.71528,0.5505408,0.8614944,0.857442462,3.136984615,0.836529231,9.201821538,0.962008615,2.71872,6.483101538,1.212967385,4.391778462,1.401186462,3.136984615,0.982921846,3.555249231,1.924017231,3.555249231,1.024748308,4.182646154,1.357268677,1.595679508
9-Jul,282,0.535248,12.99888,0.458784,6.11712,9.94032,1.707696,8.15616,0.815616,3.56832,0.89208,2.268432,0.484272,4.07808,3.8232,2.064528,2.3168592,5.377968,0.497016,0.7315056,0.773789538,18.61277538,0.731963077,8.992689231,13.5936,2.300455385,7.110498462,1.463926154,3.764381538,1.401186462,2.509587692,0.920182154,3.555249231,4.810043077,2.509587692,2.969678769,3.973513846,1.202510769,1.390729846
10-Jul,283,0.6372,3.05856,0.433296,2.80368,6.11712,1.478304,8.9208,0.739152,2.370384,2.42136,1.758672,0.38232,3.56832,2.191968,1.631232,9.914832,2.2403952,0.4740768,0.6652368,1.003835077,4.391778462,0.690136615,5.019175385,8.992689231,2.049496615,6.901366154,1.296620308,2.71872,2.488674462,2.091323077,0.878355692,2.927852308,2.091323077,2.091323077,15.72674954,2.844199385,1.160684308,1.252702523
11-Jul,284,0.790128,1.962576,0.968544,1.605744,1.299888,1.325376,7.13664,0.6372,3.56832,1.40184,1.427328,0.38232,3.31344,1.172448,1.325376,3.797712,1.72044,0.5760288,0.6677856,1.965843692,3.136984615,1.401186462,3.555249231,2.509587692,1.861277538,6.901366154,1.087488,4.391778462,1.505752615,1.903104,0.878355692,3.136984615,1.484839385,1.861277538,5.939357538,2.446848,1.300802954,1.263159138
